source_id,source_name,author,title,description,content
,Listverse.com,JFrater,Top 10 Rip-Roaring Theories About Marvel Movies,"Good guys vs. bad guys. Superheroes, villains, and gods with bulging muscles all form part of the action. What more could we ask for when it comes to movies such as Iron Man, The Avengers, Spider-Man, and Thor? Some fans delight in finding Easter eggs in thei…","Good guys vs. bad guys.
Superheroes, villains, and gods with bulging muscles all form part of the action. What more could we ask for when it comes to movies such as Iron Man, The Avengers, Spider-Ma… [+10202 chars]"
,Business Standard,IANS,Former Karnataka CM Siddaramaiah's son tests positive for coronavirus,"Yathindra, 40, is a first-time MLA from the Varuna Assembly segment in Mysuru district","Former Karnataka Chief Minister and Congress leader Siddaramaiah's son Yathindra Siddaramaiah tested positive for coronavirus on Friday, health officials said.
""Yathindra's swab sample has tested po… [+1449 chars]"
,Vanguard,Rasheed Sobowale,Biochemists to President: Coronavirus protests across the world,"As the prospect of a second coronavirus wave fuels fears of new lockdowns in Europe and elsewhere, anger is growing in some quarters over crippling restrictions imposed to slow transmission of the disease. From football fans to far-right conspiracy theorists …","As the prospect of a second coronavirus wave fuels fears of new lockdowns in Europe and elsewhere, anger is growing in some quarters over crippling restrictions imposed to slow transmission of the di… [+4283 chars]"
,Firstpost,,"Behind Pakistan’s cartographic hallucination on Kashmir lies Imran’s domestic woes, China’s invisible hand - Firstpost","<ol><li>Behind Pakistan’s cartographic hallucination on Kashmir lies Imran’s domestic woes, China’s invisible hand  Firstpost
</li><li>Collusion between nationalist fantasy and official cartography fuels conflict across South Asia  Moneycontrol
</li><li>Sou…","China has never been a disinterested party in Kashmir, and its interventions are getting more frequent in tune with Beijings hold over its client state Pakistan.
 Imran Khan is in trouble, to put it… [+15646 chars]"
,Independent.ie,"Billy Keane, Billy Keane",The GAA has given in to Nphet - but the biggest danger at our local playing field is the midges,There's a small problem up at Nphet.,"There's a small problem up at Nphet.It is highly unlikely they will be able to field a team in this year's GAA inter-medical championship. You might say, ""fair enough"", and ""what of it?"" and ""sure do… [+5837 chars]"
,Motley Fool,newsfeedback@fool.com (Motley Fool Transcribers),Newtek Business Services Corp (NEWT) Q2 2020 Earnings Call Transcript,"NEWT earnings call for the period ending June 30, 2020.","Image source: The Motley Fool.
Newtek Business Services Corp (NASDAQ:NEWT)Q2 2020 Earnings CallAug 7, 2020, 8:30 p.m. ET
Contents:
<ul><li>Prepared Remarks</li><li>Questions and Answers</li><li>Ca… [+54366 chars]"
the-hindu,The Hindu,Special Correspondent,Cong. demands release of salaries,"The Delhi Congress on Friday demanded that salaries of sanitation workers, ad-hoc employees, gardeners, marshals, nurses and doctors — who have been working during the pandemic — be paid immediately a","The Delhi Congress on Friday demanded that salaries of sanitation workers, ad-hoc employees, gardeners, marshals, nurses and doctors who have been working during the pandemic be paid immediately as t… [+933 chars]"
,KPBS,"KPBS Public Media, KPBS Public Media","California Virus Cases May Be Underreported, Colorado Finalizing Wastewater Testing Program To Battle Coronavirus, Diversity And Inclusion In Theatre Are Focus Of New KPBS TV Show","Figures showing California has slowed the rate of coronavirus infections may be in doubt because a technical problem has delayed reporting of test results. Plus, Colorado public health officials are finalizing the details of a wastewater testing program to he…","Figures showing California has slowed the rate of coronavirus infections may be in doubt because a technical problem has delayed reporting of test results. Plus, Colorado public health officials are … [+18204 chars]"
bloomberg,Bloomberg,,2020 Year in Crisis: Vote from Home,"With the corona-virus pandemic promising to last through the fall, a record number of Americans will be voting by mail this year. But mail-in voting is more contentious than ever, as President Trump continues to attack the practice in some states, and celebra…",
,Telegraph.co.uk,Charles Moore,The Germans don’t worship their health service – that’s why it’s better than ours,A decentralised system that is not prey to party politics has given the country a great advantage,"In judging our Covid-19 performance, we naturally compare it with that of other countries. The most telling comparison is with nations whose predicament is closest to ours. Enormous countries, such a… [+4110 chars]"
,Discover Magazine,Leslie Nemo,"What's In a Shot? Vaccine Types, Explained","In the race to find a vaccine against SARS-CoV-2, some contenders come from classic development methods. Others would be the first of their kind.",The COVID-19 pandemic may have plunged you into a world of science specifically vaccine development that you didnt know much about before. Maybe youve learned that vaccines typically take years to pr… [+5787 chars]
,Discover Magazine,Leslie Nemo,"What's In a Shot? Vaccine Types, Explained","In the race to find a vaccine against SARS-CoV-2, some contenders come from classic development methods. Others would be the first of their kind.",The COVID-19 pandemic may have plunged you into a world of science specifically vaccine development that you didnt know much about before. Maybe youve learned that vaccines typically take years to pr… [+5787 chars]
,Discover Magazine,Leslie Nemo,"What's In a Shot? Vaccine Types, Explained","In the race to find a vaccine against SARS-CoV-2, some contenders come from classic development methods. Others would be the first of their kind.",The COVID-19 pandemic may have plunged you into a world of science specifically vaccine development that you didnt know much about before. Maybe youve learned that vaccines typically take years to pr… [+5787 chars]
,Discover Magazine,Leslie Nemo,"What's In a Shot? Vaccine Types, Explained","In the race to find a vaccine against SARS-CoV-2, some contenders come from classic development methods. Others would be the first of their kind.",The COVID-19 pandemic may have plunged you into a world of science specifically vaccine development that you didnt know much about before. Maybe youve learned that vaccines typically take years to pr… [+5787 chars]
,Discover Magazine,Leslie Nemo,"What's In a Shot? Vaccine Types, Explained","In the race to find a vaccine against SARS-CoV-2, some contenders come from classic development methods. Others would be the first of their kind.",The COVID-19 pandemic may have plunged you into a world of science specifically vaccine development that you didnt know much about before. Maybe youve learned that vaccines typically take years to pr… [+5787 chars]
,Discover Magazine,Leslie Nemo,"What's In a Shot? Vaccine Types, Explained","In the race to find a vaccine against SARS-CoV-2, some contenders come from classic development methods. Others would be the first of their kind.",The COVID-19 pandemic may have plunged you into a world of science specifically vaccine development that you didnt know much about before. Maybe youve learned that vaccines typically take years to pr… [+5787 chars]
,Discover Magazine,Leslie Nemo,"What's In a Shot? Vaccine Types, Explained","In the race to find a vaccine against SARS-CoV-2, some contenders come from classic development methods. Others would be the first of their kind.",The COVID-19 pandemic may have plunged you into a world of science specifically vaccine development that you didnt know much about before. Maybe youve learned that vaccines typically take years to pr… [+5787 chars]
,Discover Magazine,Leslie Nemo,"What's In a Shot? Vaccine Types, Explained","In the race to find a vaccine against SARS-CoV-2, some contenders come from classic development methods. Others would be the first of their kind.",The COVID-19 pandemic may have plunged you into a world of science specifically vaccine development that you didnt know much about before. Maybe youve learned that vaccines typically take years to pr… [+5787 chars]
,Discover Magazine,Leslie Nemo,"What's In a Shot? Vaccine Types, Explained","In the race to find a vaccine against SARS-CoV-2, some contenders come from classic development methods. Others would be the first of their kind.",The COVID-19 pandemic may have plunged you into a world of science specifically vaccine development that you didnt know much about before. Maybe youve learned that vaccines typically take years to pr… [+5787 chars]
,Motley Fool,newsfeedback@fool.com (Motley Fool Transcribing),AMC Entertainment Holdings (AMC) Q2 2020 Earnings Call Transcript,"AMC earnings call for the period ending June 30, 2020.","Image source: The Motley Fool.
AMC Entertainment Holdings (NYSE:AMC)Q2 2020 Earnings CallAug 06, 2020, 5:00 p.m. ET
Contents:
<ul><li>Prepared Remarks</li><li>Questions and Answers</li><li>Call Pa… [+59454 chars]"
,BGR,Chris Smith,These are the 4 coronavirus symptoms you need to watch out for,"<ul>
 <li>Coronavirus patients have reported a variety of COVID-19 symptoms since the illness first emerged in China, but the symptoms alone aren’t good enough for a clinical diagnosis.</li>
 <li>While a PCR test is needed to confirm a COVID-19 infection, a c…","<ul><li>Coronavirus patients have reported a variety of COVID-19 symptoms since the illness first emerged in China, but the symptoms alone aren’t good enough for a clinical diagnosis.</li><li>While a… [+3340 chars]"
,The Daily Wire,Hank Berrien,"Sean Lennon Rips Fake Anti-Fascists, Fake Anti-Racists: They Will Achieve Nothing But ‘Destruction And Chaos’","On Friday, Sean Ono Lennon, the son of Beatles legend John Lennon and Yoko Ono, slammed leftist protesters and the destruction they have wrought in a cogent tweet, tweeting, “I’m unsure how this ‘fight racism with racism’ and ‘fight fascism with fascism’ stra…","On Friday, Sean Ono Lennon, the son of Beatles legend John Lennon and Yoko Ono, slammed leftist protesters and the destruction they have wrought in a cogent tweet, tweeting, Im unsure how this fight … [+4466 chars]"
,Billboard,Alexei Barrionuevo,"Bryan Adams to Headline ‘Return to Live’ Concert in Germany Next Month for 12,000 Fans","Live Nation says it will host the first large-scale live music event in Germany since the pandemic began, with a concert on Sept. 4 headlined by Bryan Adams.","Live Nation says it will host the first large-scale live music event in Germany since the pandemic began, with a concert on Sept. 4 headlined by Bryan Adams at a soccer stadium in Düsseldorf before 1… [+3982 chars]"
,Activistpost.com,Activist Post,Covering Up the Awakening – Massive Lockdown Protest in Berlin Downplayed and Demonized by MSM,"By Dylan Charles We’re at a crossroads at the moment, and most people are choosing obedience to the emerging new order. Here in the U.S.,...
Covering Up the Awakening – Massive Lockdown Protest in Berlin Downplayed and Demonized by MSM","By Dylan Charles
Were at a crossroads at the moment, and most people are choosing obedience to the emerging new order. Here in the U.S., the hysteria and fear is thick, palpable and ugly. Just as St… [+6308 chars]"
,Plos.org,"Long Huang, Wansheng Lei, Fuming Xu, Hairong Liu, Liang Yu",Emotional responses and coping strategies in nurses and nursing students during Covid-19 outbreak: A comparative study,"The coronavirus disease (COVID-19) outbreak in December has seen more than 76,000 cases in China, causing more than 3,000 medical staff infections. As the disease is highly contagious, can be fatal in severe cases, and there are no specific medicines, it pose…","Abstract
The coronavirus disease (COVID-19) outbreak in December has seen more than 76,000 cases in China, causing more than 3,000 medical staff infections. As the disease is highly contagious, can … [+33014 chars]"
,Daily Mail,,Video: Montauk Beach packed with visitors as New York City exodus continues,Montauk Beach in The Hamptons is overcrowded during the spread of Corona Virus.,"1:50
Graphic shows off lava tubes on Mars, the Moon and Earth"
,Autostraddle.com,the team,Extra! Extra!: A Race Between Education and Catastrophe,"We used this week's Extra! Extra! to revisit some not-so-distant history, examine the fucked up shit happening in the name of ""Homeland Security,"" take a look at some of the global headlines that caught our eye and check in on how COVID continues to impact ou…","After talking about some of the most important issues of the 2020 campaign last week, we had hoped to spend today’s edition of Extra! Extra! talking about Joe Biden’s vice presidential selection. Rum… [+20399 chars]"
,Livejournal.com,toxic_illusion,ONTD Roundup,"For Thursday, August 6, 2020:<ul><li>SuperM announces comeback date!!</li><li>Evan Rachel Wood knows about pedophiles in Hollywood</li><li>NETFLIX PARTY ANNOUNCEMENT - SPECIAL FEATURE - Jurassic Park</li><li>Cardi B - WAP feat. Megan Thee Stallion [Official M…","i'm 5 months sober from alcohol today!!!about 6 of my closest friends (including my bff) are taking a trip to go wine tasting all next week, and my bff told me they didn't invite me for obvious reaso… [+360 chars]"
spiegel-online,Spiegel Online,"Alexander Chernyshev, Wu Dandan, Georg Fahrion, Christina Hebel, Laura Höflinger, Bernhard Zand",Corona: Cutting Corners in the Race for a Vaccine,"Russia, China and India are racing to find a coronavirus vaccine. But international standards are not always being respected. Some researchers have even tested their remedies on themselves.","When Alexander Ginzburg injected himself with the vaccine he developed, he hadn't even begun testing the substance on monkeys. That was four months ago, and Ginzburg, a microbiologist and director of… [+10623 chars]"
,Slashdot.org,Anonymous Coward,Personal Care gifts for Staff,"Even though we are right in the middle of the Corona virus pandemic it isn&rsquo;t to early to plan for life post-COVID-19. It seems obvious that social distancing, face masks and hand sanitizers will play an important roll when traveling and that is where th…",The Fine Print: The following comments are owned by whoever posted them. We are not responsible for them in any way.
,Slashdot.org,Anonymous Coward,A Favorite Corporate Gifting Ideas in 2020,"Even though we are right in the middle of the Corona virus pandemic it isn&rsquo;t to early to plan for life post-COVID-19. It seems obvious that social distancing, face masks and hand sanitizers will play an important roll when traveling and that is where th…",The Fine Print: The following comments are owned by whoever posted them. We are not responsible for them in any way.
,Annvoskamp.com,Ann Voskamp,How to Show Up in Beirut as the Hands of Jesus Right Now (A Surprising Story of Hope),When it feels like the end of the world — we can show up to prove Hope never ends.,"It feels like it’s a physical manifestation of all of our grief over 2020, the whole world standing agape at the cataclysmic mushroom of horror that exploded over the port of Beirut this week.
The p… [+10625 chars]"
